STATE,CO22018
ALABAMA,61869276.79
ALASKA,2833421.627
ARIZONA,53979981.05
ARKANSAS,41184878.9
CALIFORNIA,41032693.19
COLORADO,37726616.39
CONNECTICUT,9988991.679
DELAWARE,2802853.67
DISTRICT OF COLUMBIA,16433.431
FLORIDA,114827502.5
GEORGIA,59863745.89
HAWAII,7412844.573
IDAHO,1455645.833
ILLINOIS,76406066.27
INDIANA,98505395.05
IOWA,33804670.75
KANSAS,25565467.03
KENTUCKY,71797634.97
LOUISIANA,42580455.91
MAINE,1453783.686
MARYLAND,18296004.99
MASSACHUSETTS,9867203.33
MICHIGAN,64190164.56
MINNESOTA,30571798.3
MISSISSIPPI,29101198.86
MISSOURI,69092318.37
MONTANA,16312377.33
NEBRASKA,25993715.49
NEVADA,14750182.32
NEW HAMPSHIRE,2554891.556
NEW JERSEY,18747569.08
NEW MEXICO,21687069.24
NEW YORK,27632119.14
NORTH CAROLINA,53636315.53
NORTH DAKOTA,32071087.37
OHIO,83374477.1
OKLAHOMA,38354703.57
OREGON,10003897.55
PENNSYLVANIA,84463281.51
RHODE ISLAND,3633190.538
SOUTH CAROLINA,31312088.91
SOUTH DAKOTA,3260152.787
TENNESSEE,30315552.3
TEXAS,233425577.1
UTAH,31461115.76
VERMONT,49075.86
VIRGINIA,34955851.17
WASHINGTON,11593795.37
WEST VIRGINIA,65429380.98
WISCONSIN,45629356.27
WYOMING,47228022.41
